year,election,county,raw_votes_D,raw_votes_R,d_candidate,r_candidate
2020,president,Napa,"49,817","20,676",Joseph R. Biden,Donald J. Trump
2020,president,Nevada,"36,359","26,779",Joseph R. Biden,Donald J. Trump
2020,president,Orange,"814,009","676,498",Joseph R. Biden,Donald J. Trump
2020,president,Placer,"106,869","122,488",Joseph R. Biden,Donald J. Trump
2020,president,Plumas,"4,561","6,445",Joseph R. Biden,Donald J. Trump
2020,president,Riverside,"528,340","449,144",Joseph R. Biden,Donald J. Trump
2020,president,Sacramento,"440,808","259,405",Joseph R. Biden,Donald J. Trump
2020,president,San Benito,"17,628","10,590",Joseph R. Biden,Donald J. Trump
2020,president,San Bernardino,"455,859","366,257",Joseph R. Biden,Donald J. Trump
2020,president,San Diego,"964,650","600,094",Joseph R. Biden,Donald J. Trump
2020,president,San Francisco,"378,156","56,417",Joseph R. Biden,Donald J. Trump
2020,president,San Joaquin,"161,137","121,098",Joseph R. Biden,Donald J. Trump
2020,president,San Luis Obispo,"88,310","67,436",Joseph R. Biden,Donald J. Trump
2020,president,San Mateo,"291,496","75,584",Joseph R. Biden,Donald J. Trump
2020,president,Santa Barbara,"129,963","65,736",Joseph R. Biden,Donald J. Trump
2020,president,Santa Clara,"617,967","214,612",Joseph R. Biden,Donald J. Trump
2020,president,Santa Cruz,"114,246","26,937",Joseph R. Biden,Donald J. Trump
2020,president,Shasta,"30,000","60,789",Joseph R. Biden,Donald J. Trump
2020,president,Sierra,730,"1,142",Joseph R. Biden,Donald J. Trump
2020,president,Siskiyou,"9,593","13,290",Joseph R. Biden,Donald J. Trump
2020,president,Solano,"131,639","69,306",Joseph R. Biden,Donald J. Trump
2020,president,Sonoma,"199,938","61,825",Joseph R. Biden,Donald J. Trump
2020,president,Stanislaus,"105,841","104,145",Joseph R. Biden,Donald J. Trump
2020,president,Sutter,"17,367","24,375",Joseph R. Biden,Donald J. Trump
2020,president,Tehama,"8,911","19,141",Joseph R. Biden,Donald J. Trump
2020,president,Trinity,"2,851","3,188",Joseph R. Biden,Donald J. Trump
2020,president,Tulare,"66,105","77,579",Joseph R. Biden,Donald J. Trump
2020,president,Tuolumne,"11,978","17,689",Joseph R. Biden,Donald J. Trump
2020,president,Ventura,"251,388","162,207",Joseph R. Biden,Donald J. Trump
2020,president,Yolo,"67,598","27,292",Joseph R. Biden,Donald J. Trump
2020,president,Yuba,"11,230","17,676",Joseph R. Biden,Donald J. Trump
2022,governor,Alameda,"387,046","100,923",Gavin Newsom,Brian Dahle
2022,governor,Alpine,363,256,Gavin Newsom,Brian Dahle
2022,governor,Amador,"6,027","12,628",Gavin Newsom,Brian Dahle
2022,governor,Butte,"31,502","40,939",Gavin Newsom,Brian Dahle
2022,governor,Calaveras,"7,103","14,137",Gavin Newsom,Brian Dahle
2022,governor,Colusa,"1,553","4,009",Gavin Newsom,Brian Dahle
2022,governor,Contra Costa,"265,371","123,132",Gavin Newsom,Brian Dahle
2022,governor,Del Norte,"3,264","5,111",Gavin Newsom,Brian Dahle
2022,governor,El Dorado,"34,534","54,137",Gavin Newsom,Brian Dahle
2022,governor,Fresno,"98,417","120,668",Gavin Newsom,Brian Dahle
2022,governor,Glenn,"1,930","6,000",Gavin Newsom,Brian Dahle
2022,governor,Humboldt,"29,541","18,257",Gavin Newsom,Brian Dahle
2022,governor,Imperial,"16,711","13,158",Gavin Newsom,Brian Dahle
2022,governor,Inyo,"3,382","4,095",Gavin Newsom,Brian Dahle
2022,governor,Kern,"69,706","119,006",Gavin Newsom,Brian Dahle
2022,governor,Kings,"9,389","17,523",Gavin Newsom,Brian Dahle
2022,governor,Lake,"9,771","10,360",Gavin Newsom,Brian Dahle
2022,governor,Lassen,"1,444","7,726",Gavin Newsom,Brian Dahle
2022,governor,Los Angeles,"1,620,053","769,174",Gavin Newsom,Brian Dahle
2022,governor,Madera,"13,283","23,678",Gavin Newsom,Brian Dahle
2022,governor,Marin,"95,289","23,775",Gavin Newsom,Brian Dahle
2022,governor,Mariposa,"2,944","4,896",Gavin Newsom,Brian Dahle
2022,governor,Mendocino,"19,031","11,363",Gavin Newsom,Brian Dahle
2022,governor,Merced,"25,200","30,073",Gavin Newsom,Brian Dahle
2022,governor,Modoc,687,"2,725",Gavin Newsom,Brian Dahle
2022,governor,Mono,"2,493","2,076",Gavin Newsom,Brian Dahle
